,index,Gender,EthnicGroup,ParentEducation,LunchType,No: of Siblings,TransportMeans,WeeklyStudyHours,MathScore,ReadingScore,WritingScore
10388,14195,0,group B,some college,free/reduced,0,school_bus,5 - 10,52,53,49
10389,14196,0,group D,some college,standard,2,school_bus,5 - 10,72,63,68
10390,14198,0,group C,high school,free/reduced,5,private,> 10,41,49,58
10391,14199,0,group D,some high school,free/reduced,1,private,< 5,26,45,43
10392,14200,0,group D,associate's degree,standard,1,private,> 10,89,89,82
10393,14201,0,group C,bachelor's degree,standard,1,private,5 - 10,58,87,80
10394,14202,0,group E,associate's degree,standard,1,private,5 - 10,72,80,77
10395,14203,0,group B,high school,standard,0,school_bus,> 10,69,73,74
10396,14205,0,group E,high school,standard,4,school_bus,< 5,94,90,85
10397,14206,0,group C,bachelor's degree,standard,1,school_bus,5 - 10,65,81,73
10398,14210,0,group E,some high school,standard,2,school_bus,> 10,83,85,88
10399,14211,0,group D,some high school,standard,3,private,5 - 10,74,82,80
10400,14212,0,group C,some college,free/reduced,3,school_bus,5 - 10,78,71,70
10401,14214,0,group C,master's degree,free/reduced,1,private,< 5,35,42,46
10402,14216,0,group D,some high school,free/reduced,1,school_bus,5 - 10,28,43,39
10403,14217,0,group A,some college,standard,1,private,5 - 10,77,83,80
10404,14218,0,group C,some high school,free/reduced,0,private,5 - 10,44,46,39
10405,14219,0,group C,some high school,standard,2,school_bus,< 5,64,63,52
10406,14220,0,group D,some college,standard,3,private,< 5,39,42,43
10407,14222,0,group A,some high school,standard,3,school_bus,5 - 10,75,77,74
10408,14223,0,group C,associate's degree,standard,1,private,> 10,84,96,94
10409,14225,0,group D,some high school,standard,2,private,5 - 10,55,62,72
10410,14226,0,group C,associate's degree,free/reduced,1,private,5 - 10,56,64,62
10411,14227,0,group C,associate's degree,standard,3,private,5 - 10,82,86,89
10412,14228,0,group E,associate's degree,standard,1,private,> 10,80,70,72
10413,14229,0,group D,some high school,standard,0,school_bus,> 10,44,33,38
10414,14230,0,group B,some high school,standard,1,private,< 5,83,75,78
10415,14231,0,group D,some college,free/reduced,3,school_bus,> 10,55,55,55
10416,14232,0,group B,master's degree,free/reduced,4,school_bus,< 5,64,87,85
10417,14233,0,group D,some high school,standard,2,school_bus,5 - 10,87,83,80
10418,14234,0,group C,some college,free/reduced,2,school_bus,5 - 10,72,74,67
10419,14235,0,group C,associate's degree,standard,0,school_bus,> 10,36,36,43
10420,14237,0,group C,master's degree,free/reduced,1,school_bus,5 - 10,43,64,61
10421,14238,0,group C,bachelor's degree,free/reduced,0,school_bus,5 - 10,83,77,75
10422,14241,0,group C,some college,free/reduced,1,private,> 10,74,74,72
10423,14242,0,group E,high school,standard,2,school_bus,> 10,73,73,74
10424,14243,0,group A,some high school,standard,1,school_bus,5 - 10,59,58,54
10425,14244,0,group B,some college,standard,4,private,< 5,67,75,70
10426,14245,0,group D,high school,standard,3,private,> 10,59,66,66
10427,14247,0,group C,associate's degree,free/reduced,3,school_bus,5 - 10,42,50,39
10428,14248,0,group D,some college,standard,4,private,< 5,53,63,73
10429,14249,0,group E,bachelor's degree,free/reduced,7,school_bus,5 - 10,71,64,61
10430,14250,0,group C,master's degree,free/reduced,3,private,5 - 10,71,77,77
10431,14252,0,group C,high school,standard,4,private,< 5,60,62,56
10432,14253,0,group C,some college,standard,3,private,> 10,80,72,77
10433,14254,0,group D,high school,standard,1,school_bus,< 5,75,76,76
10434,14256,0,group E,high school,free/reduced,1,school_bus,5 - 10,70,65,66
10435,14257,0,group D,associate's degree,standard,2,private,5 - 10,76,75,79
10436,14258,0,group E,high school,standard,5,school_bus,5 - 10,66,45,45
10437,14259,0,group D,high school,free/reduced,4,private,5 - 10,61,83,80
10438,14262,0,group C,associate's degree,free/reduced,4,school_bus,5 - 10,40,68,68
10439,14264,0,group C,some high school,standard,2,private,< 5,56,51,52
10440,14266,0,group C,master's degree,free/reduced,0,private,< 5,59,61,64
10441,14267,0,group C,master's degree,free/reduced,0,school_bus,5 - 10,54,73,67
10442,14268,0,group E,some college,standard,4,private,< 5,49,55,51
10443,14269,0,group D,high school,standard,1,private,5 - 10,59,47,45
10444,14270,0,group E,high school,standard,2,school_bus,5 - 10,78,74,67
10445,14271,0,group C,some college,free/reduced,3,private,< 5,56,73,73
10446,14272,0,group B,bachelor's degree,standard,3,school_bus,5 - 10,63,69,71
10447,14273,0,group B,some high school,standard,1,school_bus,5 - 10,51,64,67
10448,14274,0,group C,some high school,free/reduced,2,private,> 10,10,31,35
10449,14275,0,group D,high school,standard,3,school_bus,5 - 10,62,58,59
10450,14276,0,group D,bachelor's degree,standard,1,private,> 10,82,73,72
10451,14277,0,group C,some college,free/reduced,1,private,5 - 10,86,83,85
10452,14278,0,group E,some college,standard,3,school_bus,> 10,84,70,74
10453,14280,0,group B,bachelor's degree,standard,2,private,5 - 10,82,78,78
10454,14281,0,group C,some college,free/reduced,2,school_bus,5 - 10,42,51,43
10455,14282,0,group C,high school,free/reduced,5,school_bus,> 10,64,63,57
10456,14284,0,group D,some high school,standard,1,private,> 10,74,76,75
10457,14285,0,group C,high school,standard,1,private,> 10,72,71,70
10458,14286,0,group B,high school,standard,1,private,> 10,98,79,84
10459,14287,0,group E,associate's degree,free/reduced,2,school_bus,5 - 10,65,63,61
10460,14288,0,group C,associate's degree,free/reduced,4,school_bus,> 10,62,63,70
10461,14289,0,group C,some high school,standard,3,school_bus,5 - 10,70,87,78
10462,14290,0,group D,some college,standard,1,private,5 - 10,55,65,59
10463,14291,0,group B,associate's degree,standard,2,school_bus,5 - 10,74,90,93
10464,14293,0,group B,associate's degree,free/reduced,0,school_bus,5 - 10,32,43,48
10465,14294,0,group D,associate's degree,standard,2,private,< 5,49,61,55
10466,14295,0,group E,bachelor's degree,standard,4,private,< 5,86,84,87
10467,14296,0,group C,high school,free/reduced,3,private,5 - 10,63,61,64
10468,14297,0,group C,associate's degree,free/reduced,3,school_bus,5 - 10,71,77,73
10469,14299,0,group A,master's degree,free/reduced,4,private,5 - 10,65,91,86
10470,14300,0,group B,bachelor's degree,standard,1,school_bus,5 - 10,96,100,100
10471,14301,0,group C,associate's degree,standard,0,school_bus,5 - 10,84,77,80
10472,14302,0,group B,bachelor's degree,free/reduced,2,school_bus,> 10,57,47,53
10473,14303,0,group B,some college,standard,3,private,5 - 10,69,84,86
10474,14304,0,group D,master's degree,standard,0,school_bus,< 5,83,84,81
10475,14305,0,group D,associate's degree,standard,1,private,< 5,51,54,50
10476,14306,0,group B,bachelor's degree,standard,3,private,5 - 10,78,70,69
10477,14307,0,group C,some high school,standard,4,private,5 - 10,87,94,92
10478,14309,0,group B,associate's degree,standard,1,private,> 10,96,83,86
10479,14312,0,group C,bachelor's degree,free/reduced,2,school_bus,< 5,58,61,60
10480,14315,0,group A,some high school,standard,2,school_bus,5 - 10,29,49,43
10481,14316,0,group C,some college,free/reduced,1,private,> 10,57,64,70
10482,14318,0,group C,associate's degree,free/reduced,3,private,> 10,69,61,64
10483,14319,0,group E,some high school,standard,2,private,5 - 10,93,84,79
10484,14320,0,group B,some high school,standard,1,private,< 5,53,69,68
10485,14321,0,group D,some college,standard,3,school_bus,5 - 10,81,93,97
10486,14322,0,group C,associate's degree,standard,4,school_bus,5 - 10,88,83,79
10487,14324,0,group E,some high school,standard,4,private,5 - 10,85,95,97
10488,14325,0,group D,associate's degree,standard,2,school_bus,5 - 10,86,88,90
10489,14327,0,group C,some high school,standard,2,school_bus,> 10,68,62,59
10490,14330,0,group C,master's degree,standard,1,private,5 - 10,71,69,76
10491,14331,0,group E,associate's degree,free/reduced,4,private,5 - 10,60,59,69
10492,14333,0,group E,master's degree,standard,3,private,5 - 10,100,100,95
10493,14334,0,group D,high school,standard,4,school_bus,5 - 10,62,59,61
10494,14336,0,group D,some high school,standard,3,private,5 - 10,52,55,62
10495,14337,0,group C,high school,free/reduced,1,private,< 5,57,59,48
10496,14338,0,group C,some college,standard,2,school_bus,> 10,85,94,98
10497,14339,0,group D,some high school,free/reduced,3,school_bus,< 5,56,50,60
10498,14340,0,group E,some college,free/reduced,0,school_bus,> 10,53,72,68
10499,14341,0,group B,high school,free/reduced,2,school_bus,5 - 10,65,70,74
10500,14342,0,group B,high school,free/reduced,2,private,5 - 10,50,60,56
10501,14343,0,group D,some college,standard,5,school_bus,< 5,69,67,73
10502,14344,0,group E,associate's degree,standard,1,school_bus,> 10,89,89,92
10503,14345,0,group B,some college,standard,1,private,5 - 10,51,42,44
10504,14346,0,group D,master's degree,free/reduced,4,school_bus,< 5,66,65,58
10505,14349,0,group B,high school,standard,2,private,> 10,77,96,95
10506,14351,0,group E,some college,standard,2,school_bus,5 - 10,65,59,54
10507,14352,0,group C,master's degree,standard,1,school_bus,> 10,86,72,80
10508,14354,0,group D,bachelor's degree,free/reduced,1,school_bus,5 - 10,42,54,52
10509,14355,0,group B,some high school,free/reduced,1,private,< 5,37,61,50
10510,14356,0,group C,some college,standard,3,school_bus,> 10,75,73,79
10511,14357,0,group C,some college,standard,2,school_bus,5 - 10,88,100,93
10512,14359,0,group E,bachelor's degree,standard,1,school_bus,5 - 10,82,87,86
10513,14360,0,group E,associate's degree,standard,4,school_bus,5 - 10,81,65,64
10514,14361,0,group C,some high school,free/reduced,4,school_bus,< 5,73,69,64
10515,14363,0,group B,master's degree,free/reduced,2,school_bus,5 - 10,61,60,53
10516,14364,0,group C,associate's degree,standard,1,school_bus,< 5,64,82,74
10517,14365,0,group C,master's degree,standard,6,private,> 10,79,90,87
10518,14368,0,group E,some high school,standard,1,school_bus,5 - 10,75,72,78
10519,14370,0,group B,associate's degree,standard,1,private,> 10,32,51,46
10520,14375,0,group D,associate's degree,free/reduced,3,private,5 - 10,54,54,47
10521,14376,0,group B,bachelor's degree,free/reduced,1,school_bus,> 10,53,51,48
10522,14377,0,group A,associate's degree,standard,0,private,5 - 10,69,65,65
10523,14379,0,group C,associate's degree,free/reduced,2,school_bus,< 5,55,55,50
10524,14381,0,group B,associate's degree,free/reduced,1,private,5 - 10,49,60,57
10525,14382,0,group D,high school,standard,1,school_bus,> 10,98,91,97
10526,14383,0,group E,associate's degree,standard,1,school_bus,5 - 10,92,72,76
10527,14384,0,group B,associate's degree,standard,2,school_bus,< 5,64,66,68
10528,14386,0,group D,bachelor's degree,standard,0,private,> 10,88,77,90
10529,14388,0,group C,some high school,standard,2,private,< 5,57,57,56
10530,14389,0,group C,some high school,standard,2,school_bus,5 - 10,77,83,86
10531,14391,0,group D,some college,free/reduced,1,school_bus,5 - 10,53,75,73
10532,14393,0,group B,some college,standard,0,private,5 - 10,84,94,96
10533,14395,0,group C,bachelor's degree,standard,4,private,> 10,54,56,54
10534,14396,0,group C,some college,free/reduced,2,school_bus,> 10,60,53,49
10535,14398,0,group B,some high school,standard,3,private,> 10,81,76,74
10536,14399,0,group C,bachelor's degree,free/reduced,1,private,5 - 10,77,89,79
10537,14400,0,group B,high school,free/reduced,3,private,5 - 10,58,70,61
10538,14401,0,group D,master's degree,standard,5,school_bus,> 10,100,99,100
10539,14402,0,group B,high school,free/reduced,2,private,5 - 10,31,33,32
10540,14403,0,group B,some college,standard,1,private,< 5,97,89,89
10541,14404,0,group D,associate's degree,standard,2,private,5 - 10,86,93,96
10542,14405,0,group C,some college,standard,2,school_bus,5 - 10,79,74,70
10543,14406,0,group E,some high school,free/reduced,5,private,5 - 10,59,60,51
10544,14407,0,group A,some high school,standard,1,private,> 10,69,60,54
10545,14410,0,group D,associate's degree,standard,3,private,5 - 10,78,87,78
10546,14412,0,group C,some college,standard,1,school_bus,< 5,52,65,62
10547,14413,0,group D,bachelor's degree,standard,3,school_bus,> 10,75,56,63
10548,14414,0,group C,associate's degree,standard,1,private,5 - 10,56,63,60
10549,14415,0,group D,high school,free/reduced,1,school_bus,> 10,71,79,76
10550,14419,0,group B,some college,standard,1,school_bus,5 - 10,62,76,73
10551,14422,0,group C,some high school,standard,4,school_bus,> 10,48,57,57
10552,14423,0,group D,some high school,standard,2,school_bus,5 - 10,75,78,74
10553,14424,0,group A,some college,standard,5,school_bus,> 10,48,51,52
10554,14425,0,group B,some college,standard,1,school_bus,< 5,74,66,66
10555,14426,0,group D,bachelor's degree,standard,4,school_bus,> 10,75,71,78
10556,14429,0,group D,bachelor's degree,free/reduced,4,school_bus,5 - 10,60,41,45
10557,14431,0,group B,master's degree,standard,1,school_bus,< 5,73,83,91
10558,14432,0,group C,associate's degree,standard,3,school_bus,< 5,86,86,78
10559,14433,0,group B,associate's degree,standard,1,school_bus,< 5,48,65,67
10560,14435,0,group A,associate's degree,standard,3,private,5 - 10,71,63,62
10561,14437,0,group C,high school,free/reduced,2,private,5 - 10,51,55,49
10562,14438,0,group E,bachelor's degree,free/reduced,0,private,5 - 10,52,62,72
10563,14439,0,group D,some high school,standard,3,private,< 5,60,55,56
10564,14446,0,group C,high school,free/reduced,0,school_bus,5 - 10,60,53,49
10565,14447,0,group D,high school,standard,5,private,5 - 10,90,79,71
10566,14448,0,group D,high school,free/reduced,2,private,< 5,49,47,45
10567,14449,0,group C,some high school,standard,3,private,< 5,70,64,64
10568,14450,0,group E,associate's degree,standard,4,private,5 - 10,80,83,82
10569,14451,0,group C,bachelor's degree,standard,3,private,5 - 10,91,82,80
10570,14452,0,group D,some high school,standard,2,school_bus,5 - 10,82,95,90
10571,14454,0,group D,some high school,standard,2,private,> 10,80,77,76
10572,14455,0,group D,some college,standard,2,private,5 - 10,69,74,67
10573,14456,0,group C,high school,free/reduced,2,private,5 - 10,59,71,68
10574,14457,0,group C,some high school,standard,3,school_bus,5 - 10,77,94,90
10575,14458,0,group C,associate's degree,standard,4,school_bus,5 - 10,65,84,85
10576,14459,0,group C,high school,standard,4,private,5 - 10,69,56,51
10577,14460,0,group C,bachelor's degree,free/reduced,3,school_bus,> 10,51,60,62
10578,14462,0,group C,some college,standard,1,school_bus,< 5,63,49,58
10579,14465,0,group C,master's degree,free/reduced,1,private,5 - 10,49,48,49
10580,14466,0,group C,some high school,free/reduced,1,school_bus,> 10,63,59,47
10581,14468,0,group C,associate's degree,standard,4,private,5 - 10,86,83,83
10582,14470,0,group B,some high school,standard,0,school_bus,> 10,74,74,70
10583,14471,0,group C,associate's degree,standard,3,school_bus,5 - 10,84,73,77
10584,14472,0,group C,some high school,standard,1,school_bus,5 - 10,80,78,74
10585,14473,0,group C,some high school,standard,2,school_bus,> 10,63,61,61
10586,14474,0,group D,bachelor's degree,standard,1,private,5 - 10,80,96,92
10587,14475,0,group B,high school,standard,3,school_bus,5 - 10,71,87,81
10588,14477,0,group C,associate's degree,standard,1,school_bus,5 - 10,77,83,82
10589,14480,0,group A,some college,free/reduced,6,school_bus,> 10,55,66,62
10590,14481,0,group E,some high school,standard,1,school_bus,5 - 10,75,58,62
10591,14483,0,group D,some college,free/reduced,1,school_bus,< 5,79,73,73
10592,14484,0,group C,high school,standard,3,school_bus,> 10,59,77,77
10593,14485,0,group B,some college,standard,1,school_bus,5 - 10,66,72,78
10594,14487,0,group D,some college,standard,3,private,5 - 10,91,97,99
10595,14488,0,group D,some college,standard,7,school_bus,5 - 10,82,81,78
10596,14490,0,group D,some college,standard,0,school_bus,5 - 10,96,84,84
10597,14491,0,group C,associate's degree,standard,2,school_bus,5 - 10,46,67,62
10598,14492,0,group C,some high school,standard,4,school_bus,> 10,77,76,80
10599,14493,0,group C,high school,standard,1,school_bus,> 10,43,37,28
10600,14494,0,group D,high school,free/reduced,2,school_bus,< 5,7,11,12
10601,14496,0,group C,high school,free/reduced,5,private,> 10,41,41,47
10602,14497,0,group C,master's degree,standard,1,school_bus,5 - 10,97,95,88
10603,14499,0,group D,some college,standard,2,school_bus,5 - 10,69,73,72
10604,14500,0,group D,some college,free/reduced,2,private,5 - 10,87,76,82
10605,14501,0,group C,some high school,standard,0,private,5 - 10,47,41,42
10606,14502,0,group E,bachelor's degree,free/reduced,4,school_bus,< 5,61,75,68
10607,14503,0,group C,some college,free/reduced,0,private,< 5,63,74,71
10608,14504,0,group C,some college,free/reduced,1,private,5 - 10,57,76,72
10609,14505,0,group C,associate's degree,standard,2,private,5 - 10,66,55,52
10610,14506,0,group A,associate's degree,free/reduced,3,school_bus,5 - 10,67,86,82
10611,14509,0,group B,master's degree,standard,1,school_bus,< 5,77,79,92
10612,14510,0,group D,some college,standard,1,school_bus,< 5,91,87,94
10613,14511,0,group C,bachelor's degree,standard,3,school_bus,> 10,74,72,68
10614,14512,0,group D,bachelor's degree,standard,0,private,5 - 10,71,75,77
10615,14513,0,group D,some college,free/reduced,2,private,< 5,54,62,62
10616,14514,0,group D,some high school,standard,0,school_bus,5 - 10,64,66,71
10617,14516,0,group E,bachelor's degree,standard,1,school_bus,5 - 10,80,79,75
10618,14517,0,group D,master's degree,standard,5,school_bus,< 5,89,98,93
10619,14519,0,group D,some college,free/reduced,1,school_bus,> 10,59,51,51
10620,14521,0,group C,some college,free/reduced,1,school_bus,5 - 10,71,91,83
10621,14523,0,group C,some college,free/reduced,3,school_bus,5 - 10,58,73,72
10622,14524,0,group C,high school,free/reduced,2,private,> 10,51,69,71
10623,14525,0,group C,master's degree,standard,3,school_bus,5 - 10,64,60,66
10624,14527,0,group C,some high school,free/reduced,1,school_bus,> 10,54,60,56
10625,14528,0,group C,master's degree,standard,2,school_bus,< 5,80,97,95
10626,14529,0,group B,some high school,free/reduced,4,school_bus,5 - 10,48,59,47
10627,14530,0,group B,high school,standard,4,private,5 - 10,66,72,75
10628,14531,0,group C,some high school,standard,0,school_bus,> 10,42,60,58
10629,14533,0,group B,high school,standard,1,private,< 5,67,69,66
10630,14534,0,group A,high school,standard,1,private,5 - 10,74,73,65
10631,14535,0,group D,high school,free/reduced,1,school_bus,5 - 10,66,68,66
10632,14536,0,group B,some college,free/reduced,2,school_bus,5 - 10,61,68,76
10633,14537,0,group C,some high school,standard,4,private,5 - 10,58,77,75
10634,14538,0,group B,some college,free/reduced,2,school_bus,> 10,61,71,65
10635,14540,0,group C,high school,free/reduced,1,private,5 - 10,83,83,75
10636,14541,0,group E,high school,standard,2,private,5 - 10,80,86,78
10637,14543,0,group B,some high school,standard,1,private,5 - 10,53,62,65
10638,14544,0,group C,associate's degree,standard,2,school_bus,5 - 10,90,88,91
10639,14545,0,group A,some high school,free/reduced,3,school_bus,5 - 10,71,66,63
10640,14546,0,group D,bachelor's degree,free/reduced,3,school_bus,< 5,61,72,77
10641,14547,0,group C,high school,free/reduced,1,school_bus,5 - 10,58,66,62
10642,14549,0,group A,some high school,free/reduced,1,private,< 5,31,27,27
10643,14550,0,group C,associate's degree,standard,3,school_bus,< 5,76,80,75
10644,14553,0,group D,some high school,standard,3,school_bus,5 - 10,59,77,75
10645,14554,0,group B,associate's degree,standard,2,school_bus,5 - 10,35,48,46
10646,14555,0,group A,some high school,free/reduced,1,school_bus,5 - 10,58,65,58
10647,14556,0,group B,some high school,standard,1,school_bus,< 5,66,67,62
10648,14557,0,group E,some college,free/reduced,2,school_bus,5 - 10,47,56,60
10649,14559,0,group C,high school,free/reduced,0,school_bus,5 - 10,60,61,63
10650,14560,0,group C,some college,free/reduced,1,school_bus,5 - 10,54,62,62
10651,14561,0,group B,some high school,standard,1,school_bus,< 5,52,65,59
10652,14562,0,group A,some high school,standard,3,private,< 5,33,36,31
10653,14564,0,group B,high school,standard,2,private,5 - 10,83,84,84
10654,14565,0,group A,high school,standard,3,private,< 5,70,85,80
10655,14567,0,group B,master's degree,free/reduced,1,private,5 - 10,43,42,38
10656,14569,0,group E,high school,standard,0,school_bus,5 - 10,60,71,66
10657,14570,0,group D,some college,standard,2,private,5 - 10,80,72,66
10658,14572,0,group B,high school,standard,0,school_bus,< 5,51,58,53
10659,14573,0,group E,high school,free/reduced,3,school_bus,5 - 10,59,61,61
10660,14574,0,group B,some college,standard,1,school_bus,5 - 10,88,85,85
10661,14575,0,group B,associate's degree,standard,2,private,5 - 10,69,57,59
10662,14577,0,group C,bachelor's degree,free/reduced,2,school_bus,> 10,85,85,90
10663,14578,0,group D,bachelor's degree,standard,2,school_bus,5 - 10,82,90,87
10664,14579,0,group D,master's degree,standard,3,school_bus,< 5,89,77,89
10665,14581,0,group B,bachelor's degree,standard,1,private,5 - 10,67,77,79
10666,14582,0,group C,some high school,free/reduced,0,school_bus,5 - 10,30,52,47
10667,14583,0,group A,some high school,free/reduced,1,private,5 - 10,45,51,50
10668,14584,0,group C,high school,free/reduced,1,school_bus,5 - 10,61,55,54
10669,14585,0,group C,high school,standard,1,school_bus,> 10,75,73,74
10670,14586,0,group D,some college,standard,3,school_bus,< 5,77,73,68
10671,14588,0,group B,master's degree,standard,1,school_bus,5 - 10,69,79,74
10672,14589,0,group E,some college,standard,3,private,> 10,79,71,77
10673,14590,0,group A,master's degree,free/reduced,5,school_bus,< 5,69,79,80
10674,14591,0,group C,high school,free/reduced,3,school_bus,< 5,64,87,85
10675,14592,0,group E,some college,free/reduced,1,school_bus,5 - 10,53,54,61
10676,14593,0,group D,bachelor's degree,standard,3,school_bus,5 - 10,64,61,63
10677,14594,0,group D,some high school,standard,4,private,5 - 10,100,82,93
10678,14595,0,group C,bachelor's degree,free/reduced,3,school_bus,5 - 10,62,73,70
10679,14596,0,group D,master's degree,standard,2,school_bus,< 5,55,77,80
10680,14597,0,group A,bachelor's degree,standard,7,private,> 10,74,85,81
10681,14598,0,group C,high school,free/reduced,1,private,5 - 10,64,76,64
10682,14600,0,group C,some high school,standard,3,private,> 10,60,59,64
10683,14601,0,group D,associate's degree,free/reduced,4,school_bus,5 - 10,58,74,70
10684,14602,0,group D,some high school,free/reduced,2,school_bus,5 - 10,45,63,68
10685,14603,0,group D,associate's degree,free/reduced,3,private,< 5,61,50,55
10686,14604,0,group D,bachelor's degree,free/reduced,5,private,> 10,53,53,45
10687,14606,0,group D,some high school,standard,3,private,5 - 10,76,76,75
10688,14607,0,group B,bachelor's degree,standard,2,school_bus,5 - 10,77,73,72
10689,14609,0,group C,high school,standard,2,school_bus,5 - 10,78,69,61
10690,14610,0,group C,bachelor's degree,standard,2,school_bus,5 - 10,81,75,72
10691,14611,0,group B,some college,standard,7,school_bus,5 - 10,52,55,51
10692,14612,0,group C,master's degree,standard,2,school_bus,< 5,64,60,59
10693,14613,0,group C,some college,free/reduced,3,private,> 10,79,78,72
10694,14615,0,group C,high school,free/reduced,0,private,< 5,54,58,55
10695,14616,0,group A,some high school,standard,0,school_bus,> 10,69,77,77
10696,14617,0,group D,some college,standard,0,private,5 - 10,71,64,69
10697,14618,0,group C,bachelor's degree,free/reduced,3,school_bus,5 - 10,57,55,49
10698,14619,0,group B,associate's degree,standard,3,school_bus,5 - 10,77,65,63
10699,14620,0,group C,high school,standard,4,private,5 - 10,46,48,48
10700,14623,0,group D,master's degree,standard,4,school_bus,< 5,85,78,74
10701,14624,0,group C,some high school,standard,2,school_bus,5 - 10,69,82,82
10702,14626,0,group C,master's degree,standard,0,private,< 5,65,89,91
10703,14627,0,group D,some high school,free/reduced,1,school_bus,5 - 10,82,72,72
10704,14628,0,group C,bachelor's degree,standard,0,private,5 - 10,83,75,70
10705,14629,0,group E,some college,free/reduced,2,private,> 10,91,92,96
10706,14633,0,group E,high school,standard,0,school_bus,5 - 10,87,91,94
10707,14634,0,group D,bachelor's degree,free/reduced,2,school_bus,< 5,67,78,79
10708,14635,0,group B,some college,standard,3,school_bus,5 - 10,69,82,74
10709,14636,0,group E,some college,free/reduced,4,private,5 - 10,60,52,54
10710,14637,0,group C,master's degree,standard,0,school_bus,5 - 10,66,82,82
10711,14640,0,group E,associate's degree,free/reduced,1,school_bus,< 5,82,76,74
10712,14641,0,group C,some high school,free/reduced,7,school_bus,5 - 10,59,70,71
10713,14642,0,group D,bachelor's degree,free/reduced,5,private,< 5,50,44,42
10714,14644,0,group B,high school,standard,1,private,< 5,58,66,75
10715,14645,0,group C,some high school,standard,2,school_bus,> 10,84,80,74
10716,14646,0,group C,some college,standard,5,private,5 - 10,78,94,93
10717,14647,0,group B,associate's degree,standard,3,school_bus,< 5,66,76,83
10718,14648,0,group A,associate's degree,standard,1,school_bus,5 - 10,70,73,71
10719,14651,0,group D,some high school,standard,2,school_bus,> 10,66,65,67
10720,14652,0,group C,associate's degree,standard,1,school_bus,< 5,62,67,64
10721,14654,0,group D,associate's degree,free/reduced,1,school_bus,5 - 10,77,96,96
10722,14656,0,group B,master's degree,free/reduced,1,school_bus,> 10,65,62,65
10723,14658,0,group B,high school,standard,1,private,> 10,61,76,77
10724,14659,0,group E,some high school,standard,0,school_bus,5 - 10,59,57,59
10725,14660,0,group D,some college,free/reduced,3,school_bus,< 5,59,58,61
10726,14661,0,group B,some high school,free/reduced,1,private,5 - 10,51,58,59
10727,14662,0,group C,some college,standard,4,school_bus,< 5,63,63,68
10728,14665,0,group C,bachelor's degree,standard,1,private,> 10,77,71,66
10729,14666,0,group D,some high school,free/reduced,1,school_bus,> 10,33,49,50
10730,14667,0,group C,some high school,free/reduced,0,school_bus,> 10,36,41,32
10731,14668,0,group C,some high school,free/reduced,1,private,< 5,43,50,44
10732,14669,0,group A,some college,free/reduced,1,school_bus,< 5,61,72,70
10733,14672,0,group D,some college,standard,2,private,5 - 10,85,68,69
10734,14673,0,group B,bachelor's degree,standard,3,private,5 - 10,75,88,81
10735,14674,0,group C,some high school,standard,4,school_bus,5 - 10,68,81,75
10736,14675,0,group C,some college,standard,3,school_bus,> 10,71,75,76
10737,14676,0,group D,some high school,free/reduced,3,school_bus,5 - 10,70,82,82
10738,14677,0,group A,some college,standard,3,school_bus,> 10,66,78,75
10739,14680,0,group C,some college,standard,2,private,> 10,61,56,56
10740,14681,0,group B,high school,standard,4,school_bus,< 5,64,54,53
10741,14685,0,group C,high school,standard,0,school_bus,5 - 10,80,79,77
10742,14686,0,group C,master's degree,free/reduced,5,private,5 - 10,65,65,55
10743,14687,0,group C,some college,standard,2,private,> 10,59,72,63
10744,14688,0,group B,some high school,standard,1,private,5 - 10,85,82,82
10745,14689,0,group E,high school,standard,4,private,5 - 10,89,91,90
10746,14690,0,group E,some high school,standard,2,school_bus,5 - 10,52,54,51
10747,14693,0,group D,associate's degree,standard,0,school_bus,5 - 10,60,58,58
10748,14695,0,group B,associate's degree,free/reduced,1,private,5 - 10,44,56,50
10749,14696,0,group C,some high school,standard,3,school_bus,< 5,70,64,63
10750,14697,0,group C,bachelor's degree,standard,2,private,5 - 10,59,70,63
10751,14698,0,group C,some college,free/reduced,0,school_bus,5 - 10,38,47,49
10752,14701,0,group C,high school,free/reduced,3,private,5 - 10,49,58,55
10753,14704,0,group D,associate's degree,free/reduced,1,private,< 5,50,46,43
10754,14705,0,group B,some high school,free/reduced,1,private,< 5,64,57,56
10755,14706,0,group B,some high school,standard,3,school_bus,5 - 10,53,54,49
10756,14707,0,group A,some college,standard,3,school_bus,5 - 10,44,61,53
10757,14708,0,group A,some high school,standard,3,school_bus,< 5,30,24,22
10758,14709,0,group C,associate's degree,standard,3,school_bus,5 - 10,74,82,78
10759,14710,0,group A,high school,standard,1,school_bus,> 10,91,98,99
10760,14712,0,group D,bachelor's degree,standard,3,school_bus,5 - 10,76,92,100
10761,14713,0,group D,high school,standard,2,private,5 - 10,95,88,82
10762,14714,0,group C,associate's degree,standard,1,private,5 - 10,64,67,75
10763,14715,0,group D,some high school,free/reduced,1,school_bus,< 5,73,79,79
10764,14716,0,group D,some high school,standard,3,school_bus,5 - 10,71,54,60
10765,14717,0,group C,bachelor's degree,standard,2,private,5 - 10,86,80,75
10766,14718,0,group A,some college,standard,1,private,> 10,63,82,79
10767,14719,0,group B,bachelor's degree,standard,2,private,< 5,92,80,86
10768,14720,0,group D,high school,standard,3,private,< 5,73,72,67
10769,14721,0,group A,high school,free/reduced,1,school_bus,5 - 10,57,75,78
